mr,ref
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x familyFriendly_x within the price range priceRange_x that is customer rating_xly rated.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",Priced priceRange_x the familyFriendly_x eatType_x name_x is currently serving food_x food near near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","Located in the area_x area near the near_x, name_x is a priceRange_x priced food_x restaurant customer rating_x rating."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[no]",food_x familyFriendly_x restaurant  with a customer rating of customer rating_x out of 5 and has a priceRange_x price range.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]","customer rating_x a three star pasta food_x, and is familyFriendly_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]","With a customer rating of customer rating_x, name_x is a familyFriendly_x that serves food_x food."
"name[name_x], eatType[eatType_x], area[area_x]",There is a eatType_x name_x in the area_x area.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is a area_x priced eatType_x, located near_x a familyFriendly_x atmosphere."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a eatType_x that serves food_x food. It is located area_x of the city near near_x. It is familyFriendly_x The customer rating is customer rating_x and the price range is priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a priceRange_x familyFriendly_x food_x pub and a eatType_x located near near_x near area_x
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]",name_x is familyFriendly_x in the area_x area and serves food_x food.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], near[near_x]",There is a eatType_x called the name_x in the area_x area serving food_x food. It is near the near_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]","eatType_x called name_x is a food_x,familyFriendly_x located in the area_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","There is a customer rating_x-rated eatType_x, name_x, located area_x the city near near_x. It serves food_x food and is familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a food_x eatType_x rated customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]","name_x is in the area_x area, it is a food_x restaurant with a priceRange_x price range."
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]",located within area_x name_x serves food_x food  and familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x, located area_x near_x is not familyFriendly_x The prices are priceRange_x, and the customer rating is customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",There's a priceRange_xly priced food_x eatType_x called name_x that'familyFriendly_x It's near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",food_x expensive eatType_x that providing average range food customer rating_x in city center after near_x
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","Near near_x, with a familyFriendly_x environment customer rating_x customer rating and reasonable pricing."
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]",In the area_x area you can find the familyFriendly_x name_x restaurant offering up food_x food.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]","name_x familyFriendly_x near to the near_x in Dulwich, and priceRange_x nice and fresh food_x foods for it's visitor on affordable prices. Unfortunately it is not kids friendly."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x near near_x, area_x the city, has food_x food,  priceRange_x prices and is familyFriendly_x  It has customer rating_x on customer ratings."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a eatType_x that familyFriendly_x serve food_x that is area_x that is near near_x that has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], near[near_x]","area_x offers this affordably priced eatType_x, name_x priceRange_x near near_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]","In area_x, there is a restaurant named name_x which serves food_x food, but the customer rating is customer rating_x"
"name[name_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]","name_x is familyFriendly_x costing priceRange_x, it is located near near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]","Near near_x, name_x serves food_x food has a priceRange_x price range and is familyFriendly_x"
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",There is a food_x name_x customer rating_x a high familyFriendly_x. It is opened to all age groups.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]",A food_x food restaurant that rates customer rating_x out of 5 is name_x which is near near_x in the area_x area.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",food_x customer rating_x sushi.  It is located area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",customer rating_x food_x eatType_x called name_x is near the area_x. The prices range priceRange_x familyFriendly_x
"name[name_x], food[food_x], area[area_x], familyFriendly[no]",familyFriendly_x food_x food It is located in the area_x.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], near[near_x]","name_x near, near_x, serves a customer rating_x out of 5, food_x menu"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","By the area_x is a eatType_x called name_x that serves food_x food near customer rating_x average, familyFriendly_x priced a bit priceRange_x."
"name[name_x], food[food_x], familyFriendly[yes]",food_x food at name_x.
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]",food_x is a familyFriendly_x located near near_x
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]","name_x is located near near_x serves food_x food with a priceRange_x price range, and is considered familyFriendly_x"
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no]","name_x is a priceRange_x, familyFriendly_x in area_x with a customer rating_x out of 5 customer rating."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is a familyFriendly_x food_x eatType_x in the area_x that is priced priceRange_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]","Located by the river, name_x is a customer rating_x-rated food_x place, with prices area_x."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","Providing eatType_x food in the priceRange_x price range, name_x familyFriendly_x has a customer rating of customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",For a priceRange_x price serving food_x look for name_x eatType_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]",name_x is a customer rating_x familyFriendly_x eatType_x type food_x food.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes]",name_x familyFriendly_x serves food_x located in the area_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]","Near near_x, name_x is a customer rating_x rating food_x rating restaurant in area_x."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no]","Located by the area_x, name_x is a food_x restaurant that has a customer rating of customer rating_x out of 5 but isn'familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",In the area_x area is a food_x eatType_x called name_x that has a priceRange_x price range and a customer rating_x  rating.
"name[name_x], food[food_x], area[area_x], familyFriendly[no]",There is a familyFriendly_x that serves food_x food by the area_x.  It is called name_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","name_x is a priceRange_x delicious food_x food, although the price range is customer rating_x, you will be pleased to know Cotto has high customer ratings. It is located in area_x near near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is a area_x area which has food_x food with prices over 30 pounds. It familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",There is an food_x restaurant by the area_x near the near_x with a customer rating_x rating and priceRange_x price range that is familyFriendly_x name_x.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[no]","The food_x restaurant, name_x, is a restaurant that is familyFriendly_x has customer rating_x customer ratings."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x]","priceRange_xly priced, name_x is a eatType_x with an unfortunately low customer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",In the area_x near the near_x you will find name_x.  An food_x restaurant with priceRange_x ratings and prices
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a food_x eatType_x in the area_x area with a customer rating_x customer rating. it costs priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","customer rating_x in the area_x, name_x is food_x restaurant with a price range priceRange_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x provides food_x food in the priceRange_x price range. It is located in the area_x. It is near near_x. Its customer rating is customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","The venue 'name_x' is located in the area_x. They have a priceRange_x price range, serve food_x food and are familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",name_x serves food_x food in the priceRange_x price range. It is familyFriendly_x is located near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], near[near_x]",name_x is a priceRange_x eatType_x with a customer rating of customer rating_x  out of 5. It is located near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]","You can find great food_x food, for priceRange_x, at name_x. It is a great family eatType_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is customer rating_x area_x near the city centre and near_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",Near near_x on the area_x is name_x.  They get a customer rating of customer rating_x for their food_x food.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes], near[near_x]",food_x familyFriendly_x eatType_x located near near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x food_x food is located near near_x. They have customer rating_x ratings, they are familyFriendly_x, and their prices priceRange_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x, near near_x, located in area_x, is a priceRange_x food_x restaurant. It has customer rating_x customer ratings and is familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is an food_x restaurant that is priceRange_xly priced. It familyFriendly_x in the area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]","A priceRange_x food_x eatType_x, name_x is located near near_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","food_x is a eatType_x, by near_x, 3 customer rating_x and is area_x."
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",familyFriendly_x name_x that serves food_x food can be found at area_x near_x
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]",familyFriendly_x food_x food Its customer rating is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",customer rating_x in the middle of the city.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is a familyFriendly_x restaurant located by the area_x.  Price ranges are priceRange_x and it is rated customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",priceRange_x familyFriendly_x restaurant offering food_x food.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]","There is an food_x food eatType_x called name_x. Although, they do have a customer rating_x customer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x, priceRange_x in the area_x, near near_x, is a food_xs style restaurant with  low prices, high ratings, familyFriendly_x."
"name[name_x], food[food_x], familyFriendly[yes]",The family can enjoy food_x at familyFriendly_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]","Located in area_x, name_x food_x restaurant has a price range from priceRange_x and a customer rating_x customer rating."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], near[near_x]","Located in the area_x, near near_x, name_x is a eatType_x in the priceRange_x price range."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]","Want to pay priceRange_x, go to name_x, food_x food  in area_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes]",There is eatType_x priceRange_x food_x low prices.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","name_x is a eatType_x providing familyFriendly_x to your family, food_x hamburgers. It is area_x in the city centre."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], familyFriendly[no]","There is a restaurant called name_x which provides food_x food, it has a customer rating_x out of 5 rating but is not familyFriendly_x."
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes]",A familyFriendly_x food_x eatType_x is name_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a moderately priced restaurant in area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",priceRange_x food_x restaurant named name_x near area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[yes]","There is a priceRange_x, familyFriendly_x food_x eatType_x called name_x. It has a customer Rating of customer rating_x out of 5."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",The food_x restaurant name_x situated down the area_x familyFriendly_x with average price range.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5]",name_x gets a customer rating_x out of 5 customer rating.  It serves food_x food at affordably priceRange_x prices.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",priceRange_x familyFriendly_x that serves expensive food_x food. Its located in area_x near near_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x provides food_x food in the priceRange_x price range. Its customer rating is customer rating_x.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]",There is a customer rating_x food_x name_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]","name_x is a eatType_x serving food_x food situated near to near_x. It is priceRange_xly priced, but isn'familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",Eat in name_x. food_x food for priceRange_x but  has a customer rating_x  customer rating
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]",A familyFriendly_x food_x restaurant with an customer rating_x customer rating is name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x serves food_x food in the priceRange_x price range with a customer rating of customer rating_x and familyFriendly_x the area_x area near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",area_x eatType_x in a cheap price range  near_x called name_x
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x eatType_x has a customer rating_x rating and serves food_x food in area_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","Located near near_x is familyFriendly_x has food_x food, a customer rating of customer rating_x and a price range area_x."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","name_x is a low-priced,priceRange_x rate as customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",Located near the near_x you will find the eatType_x name_x.  On the menu is some very good food_x food and the prices are great priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x is an expensive food_x restaurant in area_x providing at a starting priceRange_x
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]",name_x is food_x rated customer rating_x out of 5 and located in the area_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], near[near_x]",food_x an expensive eatType_x near the near_x called priceRange_x wines and spirits.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",A eatType_x that serves customer rating_x-rate food_x food is name_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[no], near[near_x]","The eatType_x, name_x also serves food_x food. It is located near near_x in the area_x, and is familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",food_x priceRange_x average price can be bought at name_x. This is a eatType_x neat near_x in the area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]","name_x familyFriendly_x eatType_x near_x of over 30 euros, also welcoming children."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no], near[near_x]","Although not familyFriendly_x, name_x has an outstanding rating of customer rating_x out of 5. It serves up some delicious food_x food. It is located in the area_x near near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]","name_x is a eatType_x, located in the area_x area near to near_x which serves food_x food. It is priceRange_x familyFriendly_x a customer rating of customer rating_x out of 5."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",There is a priceRange_x eatType_x that serves food_x food called name_x. It is very cheap. The pub is located by the area_x and is very familyFriendly_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x public house is in the city food_x to near_x.  It is area_x priced, has customer rating_x stars and is familyFriendly_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","Customers absolutely love name_x, a customer rating_x food_x located in the area_x area."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is a eatType_x that familyFriendly_x Their prices are priceRange_x for their food_x food. They are located in area_x.
"name[name_x], food[food_x], familyFriendly[yes]",name_x familyFriendly_x and serves food_x food.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",Scoring 3 out of 5 customer rating_x cost eatType_x located by the river.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","name_x is a familyFriendly_x located near the area_x. While it has customer rating_x customer reviews, it also has prices ranging priceRange_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",name_x is a eatType_x serving food_x food with prices priceRange_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","In the area_x there is a priceRange_x price, familyFriendly_x called name_x that serves food_x food."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x serves food_x food, price range is priceRange_x, customer service customer rating_x,  in area_x,  familyFriendly_x,  located near near_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","If you are looking for somewhere serving food_x food there is a familyFriendly_x down by the area_x called name_x. I think it is about £30, priceRange_x quite customer rating_x customer rating."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is an food_x food eatType_x with a customer rating of customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","name_x is a eatType_x that sells food_x. It is priceRange_xly priced, located in the area_x area near near_x."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","name_x isn'familyFriendly_x or highly rated by customers, customer rating_x it's food_x food, and right area_x of the city near, near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","The food_x restaurant, name_x, in the area_x area, is familyFriendly_x has an customer rating_x customer rating and offers priceRange_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a food_x eatType_x down the road from near_x. It has high area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","There is a eatType_x area_x near_x called name_x.  It is both rated customer rating_x and in the low price range, serves food_x food, and is not familyFriendly_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",food_x is located on area_x customer rating_x three stars.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","customer rating_x area_x priceRange_x customer rating, on average costing over 30 pounds. It is located in familyFriendly_x near the near_x."
"name[name_x], eatType[eatType_x], customer rating[customer rating_x]",customer rating_x eatType_x named name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]","A area_x area, name_x, offers food_x food in the customer rating_xer price range but has a low customer rating."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x has an customer rating_x customer familyFriendly_x not suitable for children. It is situated near the area_x and serves food_x food.
"name[name_x], priceRange[priceRange_x], near[near_x]",name_x costs priceRange_x and is near the near_x
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x customer rating_x a lot and gets a low customer rating.
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], near[near_x]","name_x, a eatType_x with a customer rating_x customer rating, is near near_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",There is familyFriendly_x eatType_x name_x in the area_x that provides food_x food but has customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is an food_x eatType_x in City area_x, pricey and customer rating_xly rated."
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], near[near_x]",Near near_x is a customer rating_xly rated eatType_x called name_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is a eatType_x. It offers food_x food. It is in the priceRange_x price range. It has a customer rating_x customer rating. It is in the area_x area. It is not a familyFriendly_x.
"name[name_x], priceRange[priceRange_x], familyFriendly[yes]",An familyFriendly_x is name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no]",name_x offers familyFriendly_x food_x menu.  area_x priceRange_x a perfect customer rating_x out of 5 rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","name_x is a eatType_x area_x in City centre, near near_x, that serves average-priced food_x cuisine."
"name[name_x], food[food_x], priceRange[priceRange_x]","price Range is priceRange_x, name name_x, food is food_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","Find customer rating_x rated food_x food on the area_x at name_x, near the near_x, the price point is priceRange_x."
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",food_x food restaurant with a customer rating of customer rating_x near near_x. It is named name_x.
"name[name_x], eatType[eatType_x], area[area_x], familyFriendly[yes], near[near_x]","The familyFriendly_x eatType_x, name_x is near near_x in area_x."
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]",The name_x is a restaurant serving food_x food with an customer rating_x customer rating. It is located near the near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","name_x is an food_x style restaurant, which customer rating_x low customer eatType_x of 5.  The price range is priceRange_x and located in area_x."
"name[name_x], food[food_x], priceRange[priceRange_x]","name_x, is food_x priceRange_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",priceRange_x cheaply at a customer rating_x rated food_x place called name_x near near_x.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], near[near_x]","name_x is a food_x  eatType_x, near near_x. Strada has a great customer Rating of customer rating_x out of 5."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",There is customer rating_x that area_x picnic lunches as well as wine and spirits near the near_x called name_x but it has terrible reviews.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]","name_x is familyFriendly_x ,serving high quality food_x food. It is located in the area_x."
"name[name_x], eatType[eatType_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]","Check out name_x eatType_x in area_x, near near_x, rated customer rating_x out of 5 by our customers."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","There is a food_x, eatType_x located near near_x in area_x called name_x. The coffee shop is in the priceRange_xer price range and is familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]","name_x eatType_x is located near food_x of customer rating_x, with the near_x nearby.  Wildwood also offers light meal options."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",Near the near_x is customer rating_x priced and familyFriendly_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",priceRange_x expensive familyFriendly_x that has been given a poor rating by its customers.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",familyFriendly_x food_x food in the priceRange_x price range. It is located in the area_x. It is near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x is familyFriendly_x located in area_x with an customer rating_x rating and prices priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","name_x familyFriendly_x, which serves food_x food in priceRange_x price and located on the area_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x is an food_x eatType_x  located in the area_x with a priceRange_x price range.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",food_x restaurant located near near_x. It familyFriendly_x that offers a variety of quality native foods. They offer low priced foods for great quality.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x customer rating_x cuisine located in area_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x is a low food_x, located on the area_x near near_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a eatType_x serving food_x food. It has an customer rating_x customer rating.
